Attack ID,Timestamp,Source IP,Destination IP,Attack Type,Protocol Used,Port Number,Malware Used,Payload Size (KB),Country of Origin,Target Organization,Response Time (ms),Attack Severity,Success Status,Data Compromised (MB),Firewall Status,User Credentials Leaked,Ransom Demand ($),Remediation Applied,Attack Source Category
c9c0f01f,15:56.8,230.1.145.129,162.173.37.161,XSS,ICMP,27116,,133.94,Brazil,Tech Solutions,102,Medium,Yes,30.98,No,912,0,Data Recovery,State-Sponsored
e1b7db6e,55:56.8,179.64.69.201,180.96.45.175,SQL Injection,HTTP,39682,TrickBot,101.31,Iran,Tech Solutions,1616,Critical,Yes,18.87,No,381,0,Alert Sent,Individual Hacker
bac272e2,19:56.8,196.58.54.77,162.57.185.220,XSS,UDP,3333,Trojan.Win32,83.21,China,FinanceTrust,3930,Medium,No,0,No,0,0,IP Ban,Botnet
05709e5e,05:56.8,124.210.120.140,44.1.118.56,SQL Injection,HTTPS,51046,Emotet,298.46,India,GovSecure,2566,Low,No,0,No,0,0,Patch Update,Botnet
3f99fb65,27:56.8,63.37.170.84,31.73.1.129,SQL Injection,HTTPS,7341,WannaCry,364.84,India,Tech Solutions,3484,High,Yes,41.26,Yes,912,0,Data Recovery,Botnet
faa83e22,12:56.8,150.226.101.122,12.210.101.139,SQL Injection,TCP,5343,WannaCry,341.09,USA,Bank Corp,3540,High,Yes,50.55,No,298,0,Alert Sent,Botnet
b3128131,01:56.8,171.84.92.161,17.100.77.22,MITM Attack,FTP,52337,Emotet,227.84,Russia,Bank Corp,548,Low,Yes,36.43,No,617,0,Data Recovery,Botnet
0a528e4a,50:56.8,166.104.130.11,250.201.82.129,Phishing,ICMP,58912,Ransom.Locky,495.92,India,GovSecure,2823,High,Yes,26.07,Yes,942,0,Patch Update,Individual Hacker
29c5a86c,03:56.8,214.117.25.198,39.47.31.73,Malware Injection,HTTPS,12679,Ransom.Locky,26.82,USA,EduCare,958,Low,Yes,165.77,No,534,0,Data Recovery,Botnet
51f7540c,23:56.8,94.215.14.100,150.204.67.189,Ransomware,FTP,11684,Mirai,390.3,Russia,GovSecure,2539,Critical,No,0,No,0,514820.19,IP Ban,Botnet
149c1e12,26:56.8,144.30.47.209,165.191.227.132,MITM Attack,SSH,37756,,308.94,Germany,HealthNet,1214,High,No,0,No,0,0,Data Recovery,Insider Threat
a566ff18,47:56.8,135.209.184.55,1.170.89.24,MITM Attack,TCP,52469,SpyEye,471.65,China,RetailMart,1697,Critical,Yes,54.46,No,928,0,Firewall Upgrade,Individual Hacker
4953c75f,05:56.8,219.22.134.120,112.200.36.236,XSS,HTTP,48473,SpyEye,59.07,Iran,FinanceTrust,3513,Low,Yes,21.35,No,368,0,Data Recovery,State-Sponsored
25df2142,22:56.8,124.114.166.139,30.15.155.195,Ransomware,TCP,60889,TrickBot,145.81,Iran,EduCare,4182,Critical,Yes,86.75,No,661,57386.32,Data Recovery,Individual Hacker
dcb1801c,43:56.8,55.126.30.95,9.254.95.132,SQL Injection,SSH,9502,SpyEye,186.66,India,FinanceTrust,1374,Critical,Yes,149.03,No,885,0,Data Recovery,Botnet
a5bcc111,31:56.8,43.102.78.203,37.141.204.213,SQL Injection,HTTP,53389,Emotet,125.41,China,RetailMart,926,High,Yes,148.36,Yes,899,0,Alert Sent,State-Sponsored
ee8631eb,55:56.8,220.253.132.26,126.150.240.28,Brute Force,SSH,64652,Trojan.Win32,156.22,China,RetailMart,2629,High,Yes,91.25,No,577,0,Patch Update,Insider Threat
299be51e,22:56.8,25.2.198.245,144.225.233.100,Brute Force,FTP,56576,Zeus,211.66,Russia,RetailMart,3329,Low,No,0,Yes,0,0,Alert Sent,State-Sponsored
a8d3527d,13:56.8,44.46.159.213,52.254.85.115,DDoS,UDP,42984,Zeus,103.4,UK,FinanceTrust,712,High,No,0,No,0,0,Firewall Upgrade,Insider Threat
5e85d9f0,19:56.8,76.217.116.203,91.120.121.198,SQL Injection,TCP,40739,SpyEye,211.85,Brazil,GovSecure,2679,Medium,Yes,19.46,No,942,0,IP Ban,Botnet
07b0bb08,29:56.8,91.16.81.111,158.80.165.207,XSS,UDP,1928,Zeus,316.48,Russia,Tech Solutions,4847,High,Yes,49.78,No,800,0,Alert Sent,Botnet
90d99cc1,29:56.8,102.122.46.87,41.74.144.16,XSS,FTP,49037,SpyEye,110.87,India,Bank Corp,2546,Medium,Yes,181.52,No,533,0,IP Ban,State-Sponsored
27ffadd9,15:56.8,86.251.34.3,31.208.216.239,XSS,SMTP,15676,Zeus,91.24,North Korea,Bank Corp,1798,Medium,No,0,Yes,0,0,Firewall Upgrade,State-Sponsored
efb3082f,07:56.8,75.92.75.90,116.130.44.178,MITM Attack,UDP,287,Ransom.Locky,254.03,India,HealthNet,3672,High,No,0,No,0,0,Data Recovery,Botnet
0eeb8b35,21:56.8,227.105.203.248,222.224.102.64,DDoS,TCP,17469,WannaCry,113.99,Iran,FinanceTrust,3209,Critical,No,0,Yes,0,0,Patch Update,Individual Hacker
a39f2433,26:56.8,67.93.139.84,57.94.7.45,MITM Attack,HTTP,50023,Trojan.Win32,374.74,Germany,EduCare,869,High,Yes,125.38,No,937,0,Patch Update,Insider Threat
50a4b8ca,27:56.8,224.230.168.252,133.2.112.249,Brute Force,FTP,11147,SpyEye,52.44,UK,FinanceTrust,1958,Medium,Yes,83.1,No,827,0,Alert Sent,State-Sponsored
8ad4d590,23:56.8,4.190.112.152,231.82.76.225,XSS,ICMP,61376,Trojan.Win32,318.2,Iran,Bank Corp,1385,Medium,Yes,152.13,No,149,0,Data Recovery,Botnet
bf9429a1,03:56.8,70.234.92.82,152.128.30.191,Malware Injection,ICMP,29792,Emotet,373.54,Brazil,RetailMart,3274,Medium,No,0,Yes,0,0,Patch Update,Botnet
e3d0c2e6,02:56.8,156.82.117.187,31.97.190.55,Phishing,FTP,11133,Ransom.Locky,462.9,North Korea,HealthNet,4923,High,Yes,192.69,Yes,164,0,Data Recovery,Insider Threat
e4d0f53a,43:56.8,1.28.1.70,142.252.212.98,Ransomware,SSH,63513,,326.83,USA,Tech Solutions,2426,High,No,0,Yes,0,680998.4,Patch Update,Botnet
f3672715,43:56.8,157.82.114.187,134.129.62.64,SQL Injection,FTP,4837,Trojan.Win32,458.26,China,HealthNet,1201,Medium,Yes,168.66,No,123,0,Data Recovery,Individual Hacker
75f3cef0,56:56.8,196.136.86.96,123.240.246.150,SQL Injection,TCP,63294,,227,USA,GovSecure,3471,High,Yes,49.35,Yes,269,0,Data Recovery,State-Sponsored
289b6173,16:56.8,187.79.58.105,10.22.26.3,DDoS,FTP,46791,,178.35,USA,Bank Corp,4087,High,Yes,17.68,Yes,583,0,Firewall Upgrade,Individual Hacker
87eb7803,37:56.8,253.219.248.206,1.156.215.201,Ransomware,TCP,43307,Trojan.Win32,396.94,USA,EduCare,3887,High,Yes,19.9,Yes,733,199612.66,IP Ban,Individual Hacker
554ea257,05:56.8,101.174.146.80,29.187.105.155,Malware Injection,FTP,38628,Trojan.Win32,458.71,USA,Bank Corp,2209,High,No,0,No,0,0,Alert Sent,Insider Threat
918d5eb0,10:56.8,109.23.220.247,115.5.228.185,Malware Injection,HTTP,59424,Mirai,17.11,Iran,FinanceTrust,2724,Low,Yes,186.05,Yes,86,0,Firewall Upgrade,Insider Threat
ba40e458,28:56.8,2.65.21.167,194.75.205.204,DDoS,HTTP,12546,WannaCry,433.25,China,FinanceTrust,1994,Low,Yes,39.1,Yes,273,0,Firewall Upgrade,Insider Threat
d9936e8f,59:56.8,96.144.22.225,165.249.49.15,Ransomware,SMTP,48192,Zeus,456.02,Germany,RetailMart,2222,High,No,0,No,0,262722.72,Firewall Upgrade,Individual Hacker
ebd8dee9,23:56.8,188.110.163.207,183.57.19.236,XSS,UDP,45130,Ransom.Locky,287.24,Russia,FinanceTrust,4343,Critical,Yes,43.94,Yes,983,0,Data Recovery,Insider Threat
dce7ece5,14:56.8,128.56.63.179,238.126.168.67,SQL Injection,UDP,41521,TrickBot,201.51,UK,FinanceTrust,1926,High,No,0,Yes,0,0,Firewall Upgrade,Insider Threat
4a9676aa,39:56.8,232.125.163.61,218.229.198.226,XSS,HTTPS,33902,Ransom.Locky,241.82,Germany,HealthNet,387,High,No,0,No,0,0,IP Ban,State-Sponsored
c0f410ec,21:56.8,198.68.147.83,127.128.107.35,DDoS,SSH,22120,Emotet,197.43,Germany,EduCare,1945,High,No,0,No,0,0,Data Recovery,State-Sponsored
be92127c,12:56.8,19.34.93.105,142.97.127.98,Phishing,HTTP,39056,Zeus,62.87,UK,GovSecure,3354,Critical,Yes,13.93,No,969,0,Patch Update,Botnet
16a1cc70,56:56.8,110.190.170.227,100.213.99.149,DDoS,TCP,23970,Trojan.Win32,32.39,Iran,Bank Corp,1084,Critical,No,0,Yes,0,0,Patch Update,Botnet
153d3057,54:56.8,160.230.127.45,188.113.154.21,SQL Injection,ICMP,23808,Trojan.Win32,115.42,Germany,GovSecure,4652,Medium,No,0,No,0,0,IP Ban,Insider Threat
647c6901,18:56.8,230.16.10.187,143.236.181.13,Brute Force,HTTPS,19425,TrickBot,259.25,India,EduCare,1031,Low,Yes,73.86,Yes,357,0,Firewall Upgrade,Botnet
d69909b4,25:56.8,224.107.192.197,117.85.84.28,MITM Attack,HTTPS,39024,,39.25,North Korea,HealthNet,4199,High,No,0,Yes,0,0,Alert Sent,Insider Threat
b5aa1a89,26:56.8,109.26.228.33,100.201.206.30,MITM Attack,HTTPS,49644,WannaCry,308.48,UK,Tech Solutions,4530,Medium,No,0,No,0,0,Patch Update,Insider Threat
333b1d52,29:56.8,253.43.183.47,247.171.48.7,Brute Force,UDP,53911,TrickBot,258.44,China,RetailMart,2879,Low,No,0,No,0,0,Alert Sent,Individual Hacker
ecc95ca3,25:56.8,176.103.78.59,198.205.179.104,SQL Injection,SMTP,19652,WannaCry,276.36,USA,HealthNet,4212,Medium,Yes,52.17,Yes,434,0,IP Ban,Botnet
279a3cc1,17:56.8,184.86.131.182,125.232.200.101,XSS,SMTP,26794,TrickBot,222.72,India,GovSecure,4702,High,No,0,Yes,0,0,Data Recovery,Insider Threat
884c6350,20:56.8,232.55.175.40,114.168.94.225,Malware Injection,ICMP,9767,Zeus,245.25,Germany,HealthNet,4952,High,Yes,194.89,Yes,8,0,Firewall Upgrade,Individual Hacker
206544aa,58:56.8,41.242.200.226,59.249.5.104,SQL Injection,ICMP,50735,Ransom.Locky,371.96,Germany,GovSecure,694,Low,Yes,115.17,Yes,496,0,Firewall Upgrade,Individual Hacker
356dcc5c,15:56.8,172.200.42.13,141.121.90.50,DDoS,HTTPS,52919,Zeus,156.7,Russia,Bank Corp,3534,High,No,0,No,0,0,Alert Sent,Individual Hacker
76ee7bcb,29:56.8,166.163.95.182,218.247.55.41,XSS,SMTP,53317,TrickBot,50.31,Russia,EduCare,788,High,No,0,Yes,0,0,IP Ban,Insider Threat
8c8e5697,35:56.8,52.140.83.191,221.239.221.246,DDoS,FTP,6625,TrickBot,20.92,Germany,RetailMart,4328,Medium,No,0,No,0,0,Data Recovery,Botnet
2349865,56:56.8,181.120.187.198,98.178.192.51,Brute Force,UDP,23025,Mirai,254.11,UK,Bank Corp,4838,Low,No,0,No,0,0,IP Ban,State-Sponsored
fef8d3f7,07:56.8,105.215.18.64,246.143.202.181,MITM Attack,TCP,4547,SpyEye,56.74,North Korea,GovSecure,1795,High,Yes,198.11,Yes,938,0,Data Recovery,Botnet
502443ed,38:56.8,158.58.217.241,44.237.103.95,DDoS,FTP,30793,,296.25,Brazil,EduCare,4126,High,No,0,No,0,0,Patch Update,Insider Threat
6c35da7c,54:56.8,131.62.230.251,173.200.181.244,Phishing,HTTP,16382,Ransom.Locky,140.89,China,RetailMart,3429,Medium,Yes,151.37,Yes,503,0,Patch Update,Insider Threat
f1d3441d,32:56.8,44.63.207.224,116.237.77.106,Phishing,TCP,60440,Zeus,450.69,Iran,FinanceTrust,3042,Critical,No,0,Yes,0,0,Patch Update,State-Sponsored
6a0963ab,28:56.8,11.29.92.41,31.145.225.47,MITM Attack,TCP,13807,TrickBot,318.85,India,FinanceTrust,4254,High,No,0,No,0,0,IP Ban,Botnet
3775bbdf,45:56.8,146.189.241.204,17.209.12.13,Malware Injection,HTTP,20295,Trojan.Win32,319.19,USA,Tech Solutions,1769,Medium,No,0,Yes,0,0,Firewall Upgrade,Insider Threat
bc7d3ad5,17:56.8,155.53.143.13,71.163.91.247,XSS,SSH,36773,Trojan.Win32,218.28,UK,EduCare,4940,Critical,Yes,189.22,No,423,0,Patch Update,Individual Hacker
a68583a1,53:56.8,93.127.92.15,30.11.79.15,Brute Force,TCP,49977,WannaCry,45.34,USA,Tech Solutions,1733,High,Yes,88.58,Yes,826,0,Firewall Upgrade,Botnet
9b3ac49c,01:56.8,3.88.219.224,170.89.132.145,MITM Attack,HTTP,56624,Ransom.Locky,84.88,Brazil,EduCare,1673,Critical,Yes,54.26,No,943,0,Alert Sent,Individual Hacker
f914df2c,03:56.8,206.229.27.230,24.131.58.228,DDoS,FTP,10004,Emotet,198.4,Russia,EduCare,3983,Critical,No,0,No,0,0,Alert Sent,Botnet
de971e4c,19:56.8,79.36.194.253,121.246.237.4,Ransomware,SSH,21880,Emotet,325.11,North Korea,Bank Corp,4505,High,Yes,81.16,No,861,155635.8,Data Recovery,Insider Threat
4af35cba,13:56.8,196.53.254.73,156.188.196.160,XSS,FTP,49352,TrickBot,285.25,Iran,Bank Corp,3076,Medium,No,0,No,0,0,Firewall Upgrade,Individual Hacker
2a539d92,35:56.8,163.15.147.115,127.238.26.158,Phishing,HTTP,44582,Trojan.Win32,271.71,India,FinanceTrust,2483,Medium,Yes,144.83,Yes,832,0,Patch Update,Botnet
5f0f471d,59:56.8,159.18.154.225,191.201.229.211,Phishing,HTTP,39884,Emotet,432.53,China,FinanceTrust,2429,Medium,Yes,134.18,No,379,0,IP Ban,Insider Threat
c7412673,11:56.8,197.158.48.229,96.16.11.131,Ransomware,SMTP,45694,Zeus,78.93,Brazil,Bank Corp,3959,Medium,No,0,Yes,0,258872.54,Firewall Upgrade,Individual Hacker
8378e0fd,07:56.8,22.211.30.82,242.109.114.197,Malware Injection,UDP,30939,SpyEye,327.49,Russia,RetailMart,16,Low,No,0,No,0,0,Patch Update,Insider Threat
29604681,40:56.8,88.18.241.103,49.116.3.232,XSS,ICMP,768,Mirai,383.95,Brazil,GovSecure,2223,Low,Yes,71.97,Yes,781,0,Data Recovery,Individual Hacker
d097107e,00:56.8,248.39.84.227,176.161.117.205,Phishing,TCP,13216,Trojan.Win32,293.92,China,FinanceTrust,3975,Medium,Yes,3.79,Yes,390,0,IP Ban,Botnet
4637c5ea,00:56.8,187.185.252.55,145.254.105.221,Phishing,HTTPS,12383,WannaCry,213.2,Iran,Bank Corp,347,Critical,Yes,126.31,Yes,841,0,IP Ban,Botnet
765f2905,34:56.8,22.209.232.215,124.22.234.228,Ransomware,UDP,27674,Mirai,101.73,China,GovSecure,2522,High,Yes,150.16,No,912,932447.7,Firewall Upgrade,State-Sponsored
2389da17,02:56.8,32.148.121.109,124.159.160.77,MITM Attack,TCP,109,Trojan.Win32,181.52,China,EduCare,1266,Medium,No,0,No,0,0,Patch Update,State-Sponsored
2006420d,42:56.8,16.67.111.29,21.52.110.165,MITM Attack,HTTPS,7227,Trojan.Win32,322.47,China,FinanceTrust,3120,Low,No,0,Yes,0,0,Firewall Upgrade,Botnet
11590b46,43:56.8,156.66.245.225,79.227.163.101,SQL Injection,FTP,15623,SpyEye,183.44,UK,FinanceTrust,1790,Low,Yes,77.4,Yes,38,0,Alert Sent,Insider Threat
0e19c3c8,09:56.8,30.115.37.38,23.170.208.72,Ransomware,SMTP,41226,Mirai,134.19,Iran,HealthNet,879,Low,No,0,Yes,0,681901.66,Data Recovery,Individual Hacker
fc206825,16:56.8,78.68.26.251,41.161.166.6,Phishing,HTTP,36653,SpyEye,304.57,Iran,RetailMart,3289,High,Yes,103.84,No,138,0,IP Ban,Individual Hacker
6aca9898,10:56.8,233.123.139.59,203.235.151.63,XSS,ICMP,10278,,55.92,Germany,EduCare,536,Low,Yes,1.32,Yes,863,0,Firewall Upgrade,State-Sponsored
ff4f1009,34:56.8,243.71.171.69,156.177.103.13,MITM Attack,SMTP,16270,Zeus,375.78,China,FinanceTrust,3362,High,No,0,No,0,0,Firewall Upgrade,State-Sponsored
5a656518,21:56.8,30.143.239.59,217.176.196.172,SQL Injection,ICMP,20305,TrickBot,158.26,North Korea,HealthNet,4317,Critical,Yes,56.41,No,444,0,IP Ban,Insider Threat
4e82bb94,30:56.8,61.93.127.33,20.239.218.118,Phishing,HTTPS,13837,WannaCry,261.99,USA,RetailMart,1383,Critical,No,0,No,0,0,Patch Update,Insider Threat
75572d78,49:56.8,126.32.14.195,248.143.119.253,XSS,HTTP,50827,Trojan.Win32,47.31,Brazil,GovSecure,4413,Critical,Yes,3.44,No,239,0,Firewall Upgrade,Individual Hacker
f8e1216a,01:56.8,5.130.228.85,225.129.201.187,XSS,HTTPS,10212,TrickBot,472.89,North Korea,FinanceTrust,3083,Low,No,0,Yes,0,0,IP Ban,Insider Threat
1497c8c0,23:56.8,247.156.55.236,185.148.61.207,Brute Force,ICMP,54057,Ransom.Locky,294.7,China,Tech Solutions,1868,Medium,No,0,No,0,0,Alert Sent,Insider Threat
d679cbef,58:56.8,86.54.210.197,210.104.36.225,XSS,FTP,11373,Trojan.Win32,226.22,UK,Bank Corp,1207,Medium,No,0,Yes,0,0,Data Recovery,Individual Hacker
8862caa6,15:56.8,84.168.158.8,68.196.244.47,SQL Injection,HTTP,21993,Trojan.Win32,149.22,Russia,Tech Solutions,2729,Low,No,0,Yes,0,0,Patch Update,Individual Hacker
a52e1526,30:56.8,101.163.175.213,172.109.40.53,Phishing,FTP,35573,Mirai,442.92,Iran,EduCare,2756,Low,No,0,Yes,0,0,IP Ban,Botnet
b00e34ab,08:56.8,234.180.241.62,181.217.48.164,Phishing,TCP,33968,SpyEye,487.24,Iran,HealthNet,4114,High,No,0,No,0,0,Data Recovery,Individual Hacker
c5880251,11:56.8,140.56.241.130,3.215.225.218,XSS,HTTPS,5074,WannaCry,464.2,India,GovSecure,2001,Medium,No,0,Yes,0,0,Alert Sent,Individual Hacker
48def662,51:56.8,179.197.33.158,68.69.138.205,XSS,TCP,32122,Ransom.Locky,386.32,UK,GovSecure,110,Medium,No,0,No,0,0,Firewall Upgrade,Insider Threat
472fb629,16:56.8,89.83.241.50,79.211.81.253,MITM Attack,ICMP,15011,Zeus,307.16,North Korea,FinanceTrust,3271,Medium,Yes,115.78,No,393,0,Alert Sent,State-Sponsored
1998d1b0,44:56.8,40.198.147.7,65.15.41.138,SQL Injection,FTP,2992,Zeus,454,Iran,HealthNet,3268,Low,No,0,No,0,0,Patch Update,State-Sponsored
160728ff,45:56.8,94.132.177.195,128.121.221.94,DDoS,HTTPS,8722,Mirai,430.93,Iran,FinanceTrust,1507,Low,No,0,No,0,0,Alert Sent,State-Sponsored
6c388f34,51:56.8,148.103.137.132,49.203.245.4,Phishing,UDP,17835,Trojan.Win32,41.38,India,EduCare,1087,Low,No,0,Yes,0,0,Patch Update,State-Sponsored
6cfe5242,10:56.8,237.250.140.58,20.57.129.57,Phishing,UDP,48902,,10.63,India,RetailMart,3462,Critical,No,0,No,0,0,Patch Update,State-Sponsored
175271f8,54:56.8,238.24.22.93,69.214.127.192,Brute Force,SSH,18915,SpyEye,493.58,Russia,FinanceTrust,3631,High,No,0,Yes,0,0,Firewall Upgrade,Insider Threat
a9847d61,05:56.8,143.82.138.224,37.96.86.148,Malware Injection,TCP,7176,Trojan.Win32,397.36,UK,FinanceTrust,4334,Medium,Yes,92.67,No,132,0,IP Ban,Botnet
4f054ee5,12:56.8,119.177.99.12,43.110.34.191,DDoS,ICMP,53251,SpyEye,134.9,India,HealthNet,2643,High,No,0,Yes,0,0,Data Recovery,Individual Hacker
5abd435a,01:56.8,217.59.140.149,248.193.63.222,Brute Force,ICMP,46885,Zeus,304.92,UK,EduCare,965,High,Yes,136.74,No,897,0,Patch Update,State-Sponsored
0f66c362,33:56.8,23.84.111.41,189.195.151.246,Malware Injection,SSH,60839,TrickBot,40.33,Brazil,Bank Corp,4167,High,Yes,46.37,No,79,0,Patch Update,Botnet
8d72ab41,11:56.8,178.113.212.102,58.92.19.88,Malware Injection,UDP,39931,Zeus,127.4,Iran,HealthNet,2856,Low,No,0,Yes,0,0,Patch Update,Insider Threat
7d74abd0,22:56.8,40.154.57.237,167.2.212.97,MITM Attack,ICMP,7791,TrickBot,94.92,USA,RetailMart,239,High,No,0,Yes,0,0,Data Recovery,Individual Hacker
8a27b47c,17:56.8,199.81.56.109,31.104.79.57,Ransomware,HTTPS,4171,Ransom.Locky,35.71,India,EduCare,1352,High,No,0,No,0,214896.52,IP Ban,Insider Threat
6e96bb88,31:56.8,103.90.66.182,128.95.220.210,DDoS,FTP,5124,WannaCry,318.56,USA,Tech Solutions,1968,High,No,0,Yes,0,0,Firewall Upgrade,Individual Hacker
6bb49a2d,45:56.8,70.8.169.56,252.61.191.226,Brute Force,UDP,45683,Zeus,9.97,UK,Tech Solutions,4758,Medium,No,0,Yes,0,0,Alert Sent,Botnet
4d8ef507,00:56.8,191.59.89.159,7.54.59.174,DDoS,SMTP,4490,Emotet,289.28,Germany,EduCare,867,Medium,Yes,82.97,No,133,0,Firewall Upgrade,Individual Hacker
e73f079c,35:56.8,233.13.177.223,91.189.174.246,DDoS,HTTP,63691,Trojan.Win32,1.28,UK,EduCare,4003,Critical,No,0,Yes,0,0,Patch Update,Individual Hacker
d6ca3ef0,13:56.8,84.83.150.123,204.182.35.219,MITM Attack,SSH,61989,WannaCry,422.01,UK,Tech Solutions,2947,Critical,No,0,Yes,0,0,Firewall Upgrade,Insider Threat
59d86195,17:56.8,174.233.161.128,49.174.237.164,SQL Injection,FTP,46527,SpyEye,117.91,Brazil,GovSecure,706,High,No,0,Yes,0,0,Alert Sent,State-Sponsored
6154ebe9,03:56.8,60.34.167.114,129.251.217.41,DDoS,ICMP,8543,,373.26,UK,GovSecure,854,Critical,Yes,127.4,No,418,0,Alert Sent,Individual Hacker
7f1fd63b,24:56.8,110.6.131.112,187.172.61.246,MITM Attack,HTTPS,54149,SpyEye,292.4,Russia,Tech Solutions,3865,Critical,No,0,No,0,0,Firewall Upgrade,Individual Hacker
27e74158,25:56.8,197.154.210.17,203.249.227.193,XSS,ICMP,45359,Trojan.Win32,343.69,USA,GovSecure,941,High,No,0,No,0,0,Patch Update,Insider Threat
